run,c8_over_f4_TeV4,c6_over_f2_TeV2,f_peak_no_daisy_mHz,f_peak_with_daisy_mHz,f_peak_relative_difference,omega_peak_no_daisy,omega_peak_with_daisy,omega_peak_relative_difference
run05,2.0,3.2707070707070707,9.33200535103738,7.0774188063364125,-0.24159721944976584,1.5535315669085473e-15,2.124656696675866e-15,0.36763020586947576
run05,2.0,3.2747474747474747,6.258886570127066,7.760831545860945,0.23996999448791534,3.635827770025129e-15,1.7875385524927138e-15,-0.5083544475814488
run05,2.0,3.278787878787879,5.6207140693079705,6.355786610517259,0.13077920921527889,4.582218026443772e-15,2.7650348092206747e-15,-0.39657284021323636
run05,2.0,3.282828282828283,3.040201848140277,7.411251927676268,1.4377499580199942,1.6276589055087034e-14,2.1478223378067216e-15,-0.8680422335086572
run05,2.0,3.286868686868687,5.450634229228843,5.976960701163556,0.09656242737997436,5.157638008036212e-15,3.359589005421005e-15,-0.34861868937169177
run05,2.0,3.290909090909091,1.2664425335517384,7.411251927676268,4.852023863168438,1.0078955450327793e-13,2.268696288498468e-15,-0.9774907598343965
run05,2.0,3.294949494949495,7.88098468840946,6.758622895172531,-0.14241390354273664,2.6613669948537845e-15,2.795630902177713e-15,0.05044922687609459
run05,2.0,3.298989898989899,1.286049588461272,9.623198249142844,6.482758313119771,1.0365495902395947e-13,1.4357124418013737e-15,-0.9861491195855905
run05,2.0,3.3030303030303028,8.126900403737212,10.715810400696313,0.318560566556048,2.737911194869956e-15,1.192906836512534e-15,-0.5643003912078332
run05,2.0,3.307070707070707,5.450634229228843,5.6207140693079705,0.031203678861274533,6.333471748719189e-15,4.561366872060363e-15,-0.2797999181123998
run05,2.0,3.311111111111111,8.380489594072982,6.969516793537952,-0.16836400602811152,2.7336302649351507e-15,3.091413870503154e-15,0.1308822228658238
run05,2.0,3.315151515151515,8.91165363379737,9.04962379628282,0.015481993371263833,2.5366193788715348e-15,1.921191656232115e-15,-0.2426172912521094
run05,2.0,3.319191919191919,7.88098468840946,5.285700915310741,-0.32930958195053905,3.349669651819066e-15,5.826811762702228e-15,0.7395183311697409
run05,2.0,3.323232323232323,7.525992880893312,8.641991700066688,0.14828592543671273,3.837601938370626e-15,2.2189955053150986e-15,-0.42177548871646586
run05,2.0,3.327272727272727,1.7219876207698608,6.355786610517259,2.690959524828485,7.531707275963179e-14,4.3120797124444375e-15,-0.942747645992482
