run,c8_over_f4_TeV4,include_daisy,c6_over_f2_TeV2,beta_over_H_raw,beta_over_H_best_fit,fit_degree
run05,2.0,False,3.37979797979798,476.05903843255714,392.77006708686,1
run05,2.0,True,3.0,1401.5413770809837,1379.2275057705697,1
run05,2.0,True,3.004040404040404,1240.6314796755564,1362.3636760212412,1
run05,2.0,True,3.008080808080808,1437.8552723034088,1345.7060405021064,1
run05,2.0,True,3.012121212121212,1537.0294998571956,1329.2520780740635,1
run05,2.0,True,3.0161616161616163,1516.776457368955,1312.99929842401,1
run05,2.0,True,3.0202020202020203,1092.2238365902615,1296.9452416879246,1
run05,2.0,True,3.0242424242424244,1281.002137168315,1281.0874780785718,1
run05,2.0,True,3.0282828282828285,1162.4225764362516,1265.42360751775,1
run05,2.0,True,3.0323232323232325,1049.760271736472,1249.9512592730434,1
