run,Lambda_GeV,C,observable,no_daisy,with_daisy,relative_difference
run03,1000.0,3.743939393939394,Tc_minus_Tn_over_Tc,0.2148718903980691,0.2117966517540423,-0.01431196346031877
run03,1000.0,3.746060606060606,Tc_minus_Tn_over_Tc,0.2176378266382066,0.2147197513518652,-0.013407941677309246
run03,1000.0,3.7503030303030314,Tc_minus_Tn_over_Tc,0.2233945128181053,0.2204317035031676,-0.013262677214234481
run03,1000.0,3.7524242424242416,Tc_minus_Tn_over_Tc,0.226327825580399,0.2234242987645606,-0.012828854818856374
run03,1000.0,3.754545454545455,Tc_minus_Tn_over_Tc,0.2294187802959806,0.2264820672622139,-0.0128006653595575
run03,1000.0,3.756666666666667,Tc_minus_Tn_over_Tc,0.2325223833694399,0.2294802530338721,-0.013083172000410618
run03,1000.0,3.758787878787879,Tc_minus_Tn_over_Tc,0.2356895298258968,0.2326916891121881,-0.012719447978547039
run03,1000.0,3.760909090909091,Tc_minus_Tn_over_Tc,0.2389419426857133,0.2358703597685948,-0.012854934058850622
run03,1000.0,3.763030303030303,Tc_minus_Tn_over_Tc,0.2423009573424152,0.2391364849339739,-0.013060090406367273
run03,1000.0,3.765151515151515,Tc_minus_Tn_over_Tc,0.2456534748242657,0.2423464625846405,-0.013462102426969371
run03,1000.0,3.767272727272728,Tc_minus_Tn_over_Tc,0.2491906578041798,0.245812907061814,-0.013554885131448681
run03,1000.0,3.76939393939394,Tc_minus_Tn_over_Tc,0.2526866561711418,0.2495323895686961,-0.012482917183839407
run03,1000.0,3.773636363636364,Tc_minus_Tn_over_Tc,0.2600655473877728,0.2567573940153195,-0.01272045992128545
run03,1000.0,3.775757575757576,Tc_minus_Tn_over_Tc,0.2638793743996641,0.2605952242918536,-0.012445649135261286
run03,1000.0,3.777878787878788,Tc_minus_Tn_over_Tc,0.2678371538061467,0.2645099422897552,-0.01242251670132228
run03,1000.0,3.78,Tc_minus_Tn_over_Tc,0.2717943800405334,0.2683188436060773,-0.012787374168435062
run03,1000.0,3.782121212121212,Tc_minus_Tn_over_Tc,0.2759146602156053,0.2723840958649084,-0.012795856327235457
run03,1000.0,3.784242424242424,Tc_minus_Tn_over_Tc,0.2802752702309355,0.2766037141403872,-0.013099821784216271
run03,1000.0,3.7863636363636366,Tc_minus_Tn_over_Tc,0.2845790619805564,0.2808591717433234,-0.013071552809767562
run03,1000.0,3.788484848484849,Tc_minus_Tn_over_Tc,0.2889864442528736,0.2852839106853849,-0.012812135797791536
run03,1000.0,3.790606060606061,Tc_minus_Tn_over_Tc,0.2935115537014247,0.2899335839797592,-0.012190217647463248
run03,1000.0,3.792727272727273,Tc_minus_Tn_over_Tc,0.2979481065100531,0.2945198866061987,-0.011506097299996496
