run,Lambda_GeV,C,f_peak_no_daisy_mHz,f_peak_with_daisy_mHz,f_peak_relative_difference,omega_peak_no_daisy,omega_peak_with_daisy,omega_peak_relative_difference
run03,2000.0,6.357272727272727,27.35463089336022,26.937583405636264,-0.015245955587914198,6.81498893318899e-17,5.992898471799341e-17,-0.12062975735530093
run03,2000.0,6.361515151515152,27.77813510752457,26.937583405636264,-0.030259472014037968,6.73805269927571e-17,6.231800712699228e-17,-0.07513327799156279
run03,2000.0,6.365757575757576,26.122466354447656,26.52689420538825,0.015481993371262747,7.734021321968875e-17,6.530178709732934e-17,-0.15565545556699803
run03,2000.0,6.37,26.937583405636264,23.45895112786603,-0.12913676128209725,7.471208012611726e-17,8.366069652224178e-17,0.11977469213839133
run03,2000.0,6.374242424242425,30.93204788996968,27.35463089336022,-0.11565406239298848,5.892987619667262e-17,6.400827482609812e-17,0.08617697774345984
run03,2000.0,6.378484848484849,24.945803549660923,26.122466354447656,0.04716876738182793,9.272958007332263e-17,7.073390365968136e-17,-0.2372023727083523
run03,2000.0,6.391212121212122,23.10129700083158,24.945803549660923,0.07984428531276608,1.14640994576568e-16,8.429017671904514e-17,-0.26474663770691337
run03,2000.0,6.3954545454545455,31.41093765036184,24.56548093663801,-0.2179322626379787,6.500297796545242e-17,8.833807488349868e-17,0.3589850441997954
run03,2000.0,6.403939393939394,23.82214245372448,25.33201431485765,0.06338102729702658,1.1588650074512868e-16,8.843528054544016e-17,-0.2368802235220002
run03,2000.0,6.408181818181818,22.402263950746985,24.19095670528232,0.07984428531276609,1.369501052513783e-16,9.804563783651871e-17,-0.2840776744453656
run03,2000.0,6.412424242424243,23.82214245372448,23.82214245372448,0.0,1.232535552748866e-16,1.0617091855615585e-16,-0.13859751696924402
run03,2000.0,6.416666666666667,22.402263950746985,24.945803549660923,0.11353939961184707,1.448324610473961e-16,9.910412135739472e-17,-0.31573267042004405
run03,2000.0,6.420909090909091,23.82214245372448,22.402263950746985,-0.0596033083815056,1.2990635307971538e-16,1.262774925109104e-16,-0.027934434943133045
run03,2000.0,6.425151515151516,21.39317428914348,21.724383271678267,0.01548199337126266,1.640531941504812e-16,1.3795290697386616e-16,-0.15909648886612968
run03,2000.0,6.433636363636364,19.50930813876084,23.82214245372448,0.22106546702160895,2.0976011555855361e-16,1.215385125001454e-16,-0.4205833069050801
run03,2000.0,6.437878787878788,18.918966775122765,20.118070324728365,0.06338102729702681,2.2677908106823804e-16,1.7073392057361703e-16,-0.2471354951727535
run03,2000.0,6.442121212121212,20.118070324728365,20.42953815613841,0.01548199337126289,2.0559098519302236e-16,1.707502851124758e-16,-0.1694660884466107
